City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Jasper,US,37.2001,-94.3502,92.01,40,0,10.36,clear sky
235,Qasigiannguit,GL,68.8193,-51.1922,62.85,69,100,8.86,overcast clouds
236,Chunskiy,RU,56.0815,99.6342,57.96,81,37,3.8,scattered clouds
237,Puerto Narino,CO,-3.7703,-70.3831,84.38,63,72,4.14,broken clouds
238,Constitucion,CL,-35.3333,-72.4167,58.59,70,24,5.41,few clouds
239,Lengshuitan,CN,26.4111,111.5956,80.29,80,99,5.39,overcast clouds
240,Zonguldak,TR,41.25,31.8333,69.37,62,0,5.08,clear sky
241,Khani,GE,41.9563,42.9566,58.57,97,100,0.54,overcast clouds
242,Neyshabur,IR,36.2133,58.7958,89.26,10,0,6.35,clear sky
243,Ippy,CF,6.2679,21.2247,74.91,90,100,1.19,moderate rain
244,Bosobolo,CD,4.1833,19.9,79.88,82,49,1.99,light rain
245,East London,ZA,-33.0153,27.9116,59.94,77,0,8.05,clear sky
246,North Platte,US,41.1239,-100.7654,80.49,41,0,5.75,clear sky
247,Sohbatpur,PK,28.5202,68.5434,99.16,48,77,23.85,broken clouds
248,Beloha,MG,-25.1667,45.05,67.68,71,11,7.83,few clouds
249,Baoro,CF,5.6667,15.9667,74.35,93,100,3.74,moderate rain
250,La Romana,DO,18.4273,-68.9728,86.36,74,75,13.8,broken clouds
251,Nagato,JP,34.3833,131.2,76.1,88,84,13.94,broken clouds
252,Marion,US,39.7684,-86.1555,84.7,60,0,9.22,clear sky
253,Sahuaripa,MX,29.05,-109.2333,82.35,62,3,1.23,clear sky
254,Ambon,ID,-3.6954,128.1814,78.24,15,20,8.05,few clouds
255,Pimentel,PE,-6.8367,-79.9342,62.89,77,100,12.66,overcast clouds
256,Linguere,SN,15.3953,-15.1193,93.42,59,40,6.91,scattered clouds
257,Asfi,MA,32.2994,-9.2372,81.28,58,2,22.73,clear sky
258,Emerald,AU,-23.5333,148.1667,48.34,92,17,0.43,few clouds
259,Velikooktyabrskiy,RU,57.4333,33.8159,66.94,64,55,6.17,broken clouds
260,Manadhoo,MV,5.7667,73.3833,81.97,78,100,18.5,overcast clouds
261,Airai,TL,-8.9266,125.4092,55.83,91,90,2.68,overcast clouds
