City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Poum,NC,76.32,clear sky,-20.2333,164.0167,
452,Naze,JP,81.52,broken clouds,28.3667,129.4833,Shishime Hotel
456,Chaplynka,UA,83.35,broken clouds,46.3651,33.5403,Білий Дім
459,Padang,ID,77.67,overcast clouds,-0.9492,100.3543,Mercure Padang
462,Buala,SB,79.93,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
464,La Palma,US,82.96,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
465,Mitsamiouli,KM,79.09,scattered clouds,-11.3847,43.2844,Foyer ADM
466,Campos Altos,BR,75.6,clear sky,-19.6961,-46.1714,Hotel São José
475,Luwuk,ID,76.44,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
480,Bud,US,84.97,clear sky,39.447,-86.1758,Ted McQuinn Trust
483,Hobyo,SO,76.87,broken clouds,5.3505,48.5268,Iftin hotel hobyo
485,Dothan,US,88.2,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
486,Luoyang,CN,79.34,broken clouds,34.6836,112.4536,易家国际青年旅舍
489,Mogadishu,SO,76.42,scattered clouds,2.0371,45.3438,Hotel Juba
490,Waw,SS,75.88,light rain,7.7029,27.9953,Universal Gab Hotel
491,Kismayo,SO,75.63,light rain,-0.3582,42.5454,Agan-Hotel
493,Manavalakurichi,IN,79.03,few clouds,8.1333,77.3,Jebinrio home
495,Cayenne,GF,86.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
499,Vilhena,BR,86.22,clear sky,-12.7406,-60.1458,Hotel Mirage
500,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
501,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
503,Lasa,IT,89.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
505,Jenjarom,MY,82.11,broken clouds,2.8766,101.4988,ZIDA HOMESTAY
506,Puerto Maldonado,PE,84.6,clear sky,-12.6,-69.1833,Wasai Hotel
507,Teknaf,BD,82.33,light rain,20.8624,92.3058,Forestry Guesthouse
508,Ystad,SE,77.36,overcast clouds,55.4297,13.8204,Continental du Sud
510,Abha,SA,75.02,scattered clouds,18.2164,42.5053,Abha Hotel
511,Dezhou,CN,77.4,clear sky,37.4486,116.2925,Zhongtai International Hotel
512,Tucupita,VE,84.07,scattered clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
514,Zhumadian,CN,79.09,clear sky,32.9794,114.0294,Ouyue House Hotel
519,Tibati,CM,75.47,light rain,6.4667,12.6333,Tibati Hotel
521,Pudozh,RU,77.09,few clouds,61.8099,36.5345,Guest-House na Transportnoy
524,Mae Tha,TH,77.59,overcast clouds,18.4646,99.1403,Pichamol Resort and Nursing Home
526,Yaan,NG,78.37,overcast clouds,7.3833,8.5667,
527,Weligama,LK,78.64,overcast clouds,5.9667,80.4167,Weligama Bay Resort
528,Asau,RO,81.52,clear sky,46.4333,26.4,Casa Mika Ciobanus
529,Mangan,IN,76.91,overcast clouds,27.5167,88.5333,Hotel Mout View
531,Bara,NG,85.39,broken clouds,10.3744,10.7288,
534,Raga,SS,75.42,light rain,8.4596,25.678,
535,Tendukheda,IN,79.25,moderate rain,23.4,79.55,Aditya patel
537,Blagoyevo,RU,75.42,overcast clouds,63.3667,47.9167,
540,Dicabisagan,PH,81.36,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
542,Ingham,US,84.9,clear sky,42.6,-84.3833,Sunset Mobile Home Park
543,Mettur,IN,84.29,overcast clouds,11.8,77.8,Hotel Akash Residency
544,Georgiyevka,KZ,86.04,clear sky,43.0369,74.7114,Gostinitsa Imperiya
545,Tamandare,BR,78.31,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
546,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
548,Umm Lajj,SA,88.05,clear sky,25.0213,37.2685,Moon light Furnished Units
550,Akyab,MM,83.23,moderate rain,20.15,92.9,Hotel Memory
554,Springfield,US,89.37,clear sky,37.2153,-93.2982,Best Western Route 66 Rail Haven
